 `pub_row_index`, `pub_id`, `pub_citation`, `pub_title`, `pub_type`, `pub_link`, `pub_year`, `cohort_year`, `contributor_fids`, `pub_display`,,,,,,,,,,,,
50, 'pub_00050',Duis in tortor id nibh pretium interdum.,"Donec sodales purus dapibus, aliquam urna ac, aliquam quam.",Duis in tortor id nibh pretium interdum.,"Donec sodales purus dapibus, aliquam urna ac, aliquam quam.",Duis in tortor id nibh pretium interdum.,"Donec sodales purus dapibus, aliquam urna ac, aliquam quam.",Duis in tortor id nibh pretium interdum.,"Donec sodales purus dapibus, aliquam urna ac, aliquam quam.",Duis in tortor id nibh pretium interdum.,"Donec sodales purus dapibus, aliquam urna ac, aliquam quam.",Duis in tortor id nibh pretium interdum.,"Donec sodales purus dapibus, aliquam urna ac, aliquam quam.",Duis in tortor id nibh pretium interdum.,"Donec sodales purus dapibus, aliquam urna ac, aliquam quam.",Duis in tortor id nibh pretium interdum.,"Donec sodales purus dapibus, aliquam urna ac, aliquam quam.",Duis in tortor id nibh pretium interdum.,"Donec sodales purus dapibus, aliquam urna ac, aliquam quam.",Duis in tortor id nibh pretium interdum.,"Donec sodales purus dapibus, aliquam urna ac, aliquam quam."
51, 'pub_00051',Duis accumsan velit vitae placerat facilisis.,Curabitur sit amet metus vel magna pellentesque sagittis.,Duis accumsan velit vitae placerat facilisis.,Curabitur sit amet metus vel magna pellentesque sagittis.,Duis accumsan velit vitae placerat facilisis.,Curabitur sit amet metus vel magna pellentesque sagittis.,Duis accumsan velit vitae placerat facilisis.,Curabitur sit amet metus vel magna pellentesque sagittis.,Duis accumsan velit vitae placerat facilisis.,Curabitur sit amet metus vel magna pellentesque sagittis.,Duis accumsan velit vitae placerat facilisis.,Curabitur sit amet metus vel magna pellentesque sagittis.,Duis accumsan velit vitae placerat facilisis.,Curabitur sit amet metus vel magna pellentesque sagittis.,Duis accumsan velit vitae placerat facilisis.,Curabitur sit amet metus vel magna pellentesque sagittis.,Duis accumsan velit vitae placerat facilisis.,Curabitur sit amet metus vel magna pellentesque sagittis.,Duis accumsan velit vitae placerat facilisis.,Curabitur sit amet metus vel magna pellentesque sagittis.
52, 'pub_00052',Praesent sed tortor quis diam sagittis ultricies.,"Proin pretium justo a tortor rhoncus, a interdum tortor aliquet.",Praesent sed tortor quis diam sagittis ultricies.,"Proin pretium justo a tortor rhoncus, a interdum tortor aliquet.",Praesent sed tortor quis diam sagittis ultricies.,"Proin pretium justo a tortor rhoncus, a interdum tortor aliquet.",Praesent sed tortor quis diam sagittis ultricies.,"Proin pretium justo a tortor rhoncus, a interdum tortor aliquet.",Praesent sed tortor quis diam sagittis ultricies.,"Proin pretium justo a tortor rhoncus, a interdum tortor aliquet.",Praesent sed tortor quis diam sagittis ultricies.,"Proin pretium justo a tortor rhoncus, a interdum tortor aliquet.",Praesent sed tortor quis diam sagittis ultricies.,"Proin pretium justo a tortor rhoncus, a interdum tortor aliquet.",Praesent sed tortor quis diam sagittis ultricies.,"Proin pretium justo a tortor rhoncus, a interdum tortor aliquet.",Praesent sed tortor quis diam sagittis ultricies.,"Proin pretium justo a tortor rhoncus, a interdum tortor aliquet.",Praesent sed tortor quis diam sagittis ultricies.,"Proin pretium justo a tortor rhoncus, a interdum tortor aliquet."
53, 'pub_00053',Duis sed velit sed diam mollis egestas vel eget erat.,"Nunc egestas risus tincidunt diam ultrices, vitae ullamcorper sem molestie.",Duis sed velit sed diam mollis egestas vel eget erat.,"Nunc egestas risus tincidunt diam ultrices, vitae ullamcorper sem molestie.",Duis sed velit sed diam mollis egestas vel eget erat.,"Nunc egestas risus tincidunt diam ultrices, vitae ullamcorper sem molestie.",Duis sed velit sed diam mollis egestas vel eget erat.,"Nunc egestas risus tincidunt diam ultrices, vitae ullamcorper sem molestie.",Duis sed velit sed diam mollis egestas vel eget erat.,"Nunc egestas risus tincidunt diam ultrices, vitae ullamcorper sem molestie.",Duis sed velit sed diam mollis egestas vel eget erat.,"Nunc egestas risus tincidunt diam ultrices, vitae ullamcorper sem molestie.",Duis sed velit sed diam mollis egestas vel eget erat.,"Nunc egestas risus tincidunt diam ultrices, vitae ullamcorper sem molestie.",Duis sed velit sed diam mollis egestas vel eget erat.,"Nunc egestas risus tincidunt diam ultrices, vitae ullamcorper sem molestie.",Duis sed velit sed diam mollis egestas vel eget erat.,"Nunc egestas risus tincidunt diam ultrices, vitae ullamcorper sem molestie.",Duis sed velit sed diam mollis egestas vel eget erat.,"Nunc egestas risus tincidunt diam ultrices, vitae ullamcorper sem molestie."
54, 'pub_00054',Nulla luctus nisi in pharetra pharetra.,"Cras dapibus leo at neque sodales, vitae auctor ligula scelerisque.",Nulla luctus nisi in pharetra pharetra.,"Cras dapibus leo at neque sodales, vitae auctor ligula scelerisque.",Nulla luctus nisi in pharetra pharetra.,"Cras dapibus leo at neque sodales, vitae auctor ligula scelerisque.",Nulla luctus nisi in pharetra pharetra.,"Cras dapibus leo at neque sodales, vitae auctor ligula scelerisque.",Nulla luctus nisi in pharetra pharetra.,"Cras dapibus leo at neque sodales, vitae auctor ligula scelerisque.",Nulla luctus nisi in pharetra pharetra.,"Cras dapibus leo at neque sodales, vitae auctor ligula scelerisque.",Nulla luctus nisi in pharetra pharetra.,"Cras dapibus leo at neque sodales, vitae auctor ligula scelerisque.",Nulla luctus nisi in pharetra pharetra.,"Cras dapibus leo at neque sodales, vitae auctor ligula scelerisque.",Nulla luctus nisi in pharetra pharetra.,"Cras dapibus leo at neque sodales, vitae auctor ligula scelerisque.",Nulla luctus nisi in pharetra pharetra.,"Cras dapibus leo at neque sodales, vitae auctor ligula scelerisque."
55, 'pub_00055',Nam vitae ligula non est convallis rhoncus.,Phasellus tristique augue sed tortor molestie auctor.,Nam vitae ligula non est convallis rhoncus.,Phasellus tristique augue sed tortor molestie auctor.,Nam vitae ligula non est convallis rhoncus.,Phasellus tristique augue sed tortor molestie auctor.,Nam vitae ligula non est convallis rhoncus.,Phasellus tristique augue sed tortor molestie auctor.,Nam vitae ligula non est convallis rhoncus.,Phasellus tristique augue sed tortor molestie auctor.,Nam vitae ligula non est convallis rhoncus.,Phasellus tristique augue sed tortor molestie auctor.,Nam vitae ligula non est convallis rhoncus.,Phasellus tristique augue sed tortor molestie auctor.,Nam vitae ligula non est convallis rhoncus.,Phasellus tristique augue sed tortor molestie auctor.,Nam vitae ligula non est convallis rhoncus.,Phasellus tristique augue sed tortor molestie auctor.,Nam vitae ligula non est convallis rhoncus.,Phasellus tristique augue sed tortor molestie auctor.
56, 'pub_00056',"Curabitur malesuada eros sed quam varius, quis molestie ex consectetur.",Vivamus at ipsum eu metus tempus pellentesque.,"Curabitur malesuada eros sed quam varius, quis molestie ex consectetur.",Vivamus at ipsum eu metus tempus pellentesque.,"Curabitur malesuada eros sed quam varius, quis molestie ex consectetur.",Vivamus at ipsum eu metus tempus pellentesque.,"Curabitur malesuada eros sed quam varius, quis molestie ex consectetur.",Vivamus at ipsum eu metus tempus pellentesque.,"Curabitur malesuada eros sed quam varius, quis molestie ex consectetur.",Vivamus at ipsum eu metus tempus pellentesque.,"Curabitur malesuada eros sed quam varius, quis molestie ex consectetur.",Vivamus at ipsum eu metus tempus pellentesque.,"Curabitur malesuada eros sed quam varius, quis molestie ex consectetur.",Vivamus at ipsum eu metus tempus pellentesque.,"Curabitur malesuada eros sed quam varius, quis molestie ex consectetur.",Vivamus at ipsum eu metus tempus pellentesque.,"Curabitur malesuada eros sed quam varius, quis molestie ex consectetur.",Vivamus at ipsum eu metus tempus pellentesque.,"Curabitur malesuada eros sed quam varius, quis molestie ex consectetur.",Vivamus at ipsum eu metus tempus pellentesque.
57, 'pub_00057',"Etiam ut sapien elementum, auctor nisl a, facilisis nisi.","Aliquam maximus sapien vitae augue laoreet, in scelerisque dolor pharetra.","Etiam ut sapien elementum, auctor nisl a, facilisis nisi.","Aliquam maximus sapien vitae augue laoreet, in scelerisque dolor pharetra.","Etiam ut sapien elementum, auctor nisl a, facilisis nisi.","Aliquam maximus sapien vitae augue laoreet, in scelerisque dolor pharetra.","Etiam ut sapien elementum, auctor nisl a, facilisis nisi.","Aliquam maximus sapien vitae augue laoreet, in scelerisque dolor pharetra.","Etiam ut sapien elementum, auctor nisl a, facilisis nisi.","Aliquam maximus sapien vitae augue laoreet, in scelerisque dolor pharetra.","Etiam ut sapien elementum, auctor nisl a, facilisis nisi.","Aliquam maximus sapien vitae augue laoreet, in scelerisque dolor pharetra.","Etiam ut sapien elementum, auctor nisl a, facilisis nisi.","Aliquam maximus sapien vitae augue laoreet, in scelerisque dolor pharetra.","Etiam ut sapien elementum, auctor nisl a, facilisis nisi.","Aliquam maximus sapien vitae augue laoreet, in scelerisque dolor pharetra.","Etiam ut sapien elementum, auctor nisl a, facilisis nisi.","Aliquam maximus sapien vitae augue laoreet, in scelerisque dolor pharetra.","Etiam ut sapien elementum, auctor nisl a, facilisis nisi.","Aliquam maximus sapien vitae augue laoreet, in scelerisque dolor pharetra."
58, 'pub_00058',Nunc viverra urna viverra scelerisque vestibulum.,Vivamus quis ligula ut diam feugiat mattis.,Nunc viverra urna viverra scelerisque vestibulum.,Vivamus quis ligula ut diam feugiat mattis.,Nunc viverra urna viverra scelerisque vestibulum.,Vivamus quis ligula ut diam feugiat mattis.,Nunc viverra urna viverra scelerisque vestibulum.,Vivamus quis ligula ut diam feugiat mattis.,Nunc viverra urna viverra scelerisque vestibulum.,Vivamus quis ligula ut diam feugiat mattis.,Nunc viverra urna viverra scelerisque vestibulum.,Vivamus quis ligula ut diam feugiat mattis.,Nunc viverra urna viverra scelerisque vestibulum.,Vivamus quis ligula ut diam feugiat mattis.,Nunc viverra urna viverra scelerisque vestibulum.,Vivamus quis ligula ut diam feugiat mattis.,Nunc viverra urna viverra scelerisque vestibulum.,Vivamus quis ligula ut diam feugiat mattis.,Nunc viverra urna viverra scelerisque vestibulum.,Vivamus quis ligula ut diam feugiat mattis.
59, 'pub_00059',Donec tempor nisi vel suscipit aliquam.,Proin congue nisl auctor purus hendrerit aliquam.,Donec tempor nisi vel suscipit aliquam.,Proin congue nisl auctor purus hendrerit aliquam.,Donec tempor nisi vel suscipit aliquam.,Proin congue nisl auctor purus hendrerit aliquam.,Donec tempor nisi vel suscipit aliquam.,Proin congue nisl auctor purus hendrerit aliquam.,Donec tempor nisi vel suscipit aliquam.,Proin congue nisl auctor purus hendrerit aliquam.,Donec tempor nisi vel suscipit aliquam.,Proin congue nisl auctor purus hendrerit aliquam.,Donec tempor nisi vel suscipit aliquam.,Proin congue nisl auctor purus hendrerit aliquam.,Donec tempor nisi vel suscipit aliquam.,Proin congue nisl auctor purus hendrerit aliquam.,Donec tempor nisi vel suscipit aliquam.,Proin congue nisl auctor purus hendrerit aliquam.,Donec tempor nisi vel suscipit aliquam.,Proin congue nisl auctor purus hendrerit aliquam.
60, 'pub_00060',In sit amet tellus eget ex ullamcorper accumsan in congue purus.,Curabitur euismod urna at mattis posuere.,In sit amet tellus eget ex ullamcorper accumsan in congue purus.,Curabitur euismod urna at mattis posuere.,In sit amet tellus eget ex ullamcorper accumsan in congue purus.,Curabitur euismod urna at mattis posuere.,In sit amet tellus eget ex ullamcorper accumsan in congue purus.,Curabitur euismod urna at mattis posuere.,In sit amet tellus eget ex ullamcorper accumsan in congue purus.,Curabitur euismod urna at mattis posuere.,In sit amet tellus eget ex ullamcorper accumsan in congue purus.,Curabitur euismod urna at mattis posuere.,In sit amet tellus eget ex ullamcorper accumsan in congue purus.,Curabitur euismod urna at mattis posuere.,In sit amet tellus eget ex ullamcorper accumsan in congue purus.,Curabitur euismod urna at mattis posuere.,In sit amet tellus eget ex ullamcorper accumsan in congue purus.,Curabitur euismod urna at mattis posuere.,In sit amet tellus eget ex ullamcorper accumsan in congue purus.,Curabitur euismod urna at mattis posuere.
61, 'pub_00061',"Mauris venenatis ante nec felis eleifend, eu suscipit sem scelerisque.",Cras pharetra mi sit amet facilisis varius.,"Mauris venenatis ante nec felis eleifend, eu suscipit sem scelerisque.",Cras pharetra mi sit amet facilisis varius.,"Mauris venenatis ante nec felis eleifend, eu suscipit sem scelerisque.",Cras pharetra mi sit amet facilisis varius.,"Mauris venenatis ante nec felis eleifend, eu suscipit sem scelerisque.",Cras pharetra mi sit amet facilisis varius.,"Mauris venenatis ante nec felis eleifend, eu suscipit sem scelerisque.",Cras pharetra mi sit amet facilisis varius.,"Mauris venenatis ante nec felis eleifend, eu suscipit sem scelerisque.",Cras pharetra mi sit amet facilisis varius.,"Mauris venenatis ante nec felis eleifend, eu suscipit sem scelerisque.",Cras pharetra mi sit amet facilisis varius.,"Mauris venenatis ante nec felis eleifend, eu suscipit sem scelerisque.",Cras pharetra mi sit amet facilisis varius.,"Mauris venenatis ante nec felis eleifend, eu suscipit sem scelerisque.",Cras pharetra mi sit amet facilisis varius.,"Mauris venenatis ante nec felis eleifend, eu suscipit sem scelerisque.",Cras pharetra mi sit amet facilisis varius.
62, 'pub_00062',Morbi a neque ac ante dictum vehicula.,Maecenas dictum nisl ut nunc vulputate pulvinar.,Morbi a neque ac ante dictum vehicula.,Maecenas dictum nisl ut nunc vulputate pulvinar.,Morbi a neque ac ante dictum vehicula.,Maecenas dictum nisl ut nunc vulputate pulvinar.,Morbi a neque ac ante dictum vehicula.,Maecenas dictum nisl ut nunc vulputate pulvinar.,Morbi a neque ac ante dictum vehicula.,Maecenas dictum nisl ut nunc vulputate pulvinar.,Morbi a neque ac ante dictum vehicula.,Maecenas dictum nisl ut nunc vulputate pulvinar.,Morbi a neque ac ante dictum vehicula.,Maecenas dictum nisl ut nunc vulputate pulvinar.,Morbi a neque ac ante dictum vehicula.,Maecenas dictum nisl ut nunc vulputate pulvinar.,Morbi a neque ac ante dictum vehicula.,Maecenas dictum nisl ut nunc vulputate pulvinar.,Morbi a neque ac ante dictum vehicula.,Maecenas dictum nisl ut nunc vulputate pulvinar.
63, 'pub_00063',Mauris eu diam mattis elit ullamcorper semper.,"Pellentesque porttitor sapien rutrum tortor consectetur, mattis posuere felis semper.",Mauris eu diam mattis elit ullamcorper semper.,"Pellentesque porttitor sapien rutrum tortor consectetur, mattis posuere felis semper.",Mauris eu diam mattis elit ullamcorper semper.,"Pellentesque porttitor sapien rutrum tortor consectetur, mattis posuere felis semper.",Mauris eu diam mattis elit ullamcorper semper.,"Pellentesque porttitor sapien rutrum tortor consectetur, mattis posuere felis semper.",Mauris eu diam mattis elit ullamcorper semper.,"Pellentesque porttitor sapien rutrum tortor consectetur, mattis posuere felis semper.",Mauris eu diam mattis elit ullamcorper semper.,"Pellentesque porttitor sapien rutrum tortor consectetur, mattis posuere felis semper.",Mauris eu diam mattis elit ullamcorper semper.,"Pellentesque porttitor sapien rutrum tortor consectetur, mattis posuere felis semper.",Mauris eu diam mattis elit ullamcorper semper.,"Pellentesque porttitor sapien rutrum tortor consectetur, mattis posuere felis semper.",Mauris eu diam mattis elit ullamcorper semper.,"Pellentesque porttitor sapien rutrum tortor consectetur, mattis posuere felis semper.",Mauris eu diam mattis elit ullamcorper semper.,"Pellentesque porttitor sapien rutrum tortor consectetur, mattis posuere felis semper."
64, 'pub_00064',Nullam non tortor eget eros iaculis rhoncus.,Aliquam in tellus sit amet odio hendrerit feugiat eu vel nisi.,Nullam non tortor eget eros iaculis rhoncus.,Aliquam in tellus sit amet odio hendrerit feugiat eu vel nisi.,Nullam non tortor eget eros iaculis rhoncus.,Aliquam in tellus sit amet odio hendrerit feugiat eu vel nisi.,Nullam non tortor eget eros iaculis rhoncus.,Aliquam in tellus sit amet odio hendrerit feugiat eu vel nisi.,Nullam non tortor eget eros iaculis rhoncus.,Aliquam in tellus sit amet odio hendrerit feugiat eu vel nisi.,Nullam non tortor eget eros iaculis rhoncus.,Aliquam in tellus sit amet odio hendrerit feugiat eu vel nisi.,Nullam non tortor eget eros iaculis rhoncus.,Aliquam in tellus sit amet odio hendrerit feugiat eu vel nisi.,Nullam non tortor eget eros iaculis rhoncus.,Aliquam in tellus sit amet odio hendrerit feugiat eu vel nisi.,Nullam non tortor eget eros iaculis rhoncus.,Aliquam in tellus sit amet odio hendrerit feugiat eu vel nisi.,Nullam non tortor eget eros iaculis rhoncus.,Aliquam in tellus sit amet odio hendrerit feugiat eu vel nisi.
65, 'pub_00065',Vestibulum quis ex at ligula efficitur vehicula.,In dignissim lacus vel euismod lacinia.,Vestibulum quis ex at ligula efficitur vehicula.,In dignissim lacus vel euismod lacinia.,Vestibulum quis ex at ligula efficitur vehicula.,In dignissim lacus vel euismod lacinia.,Vestibulum quis ex at ligula efficitur vehicula.,In dignissim lacus vel euismod lacinia.,Vestibulum quis ex at ligula efficitur vehicula.,In dignissim lacus vel euismod lacinia.,Vestibulum quis ex at ligula efficitur vehicula.,In dignissim lacus vel euismod lacinia.,Vestibulum quis ex at ligula efficitur vehicula.,In dignissim lacus vel euismod lacinia.,Vestibulum quis ex at ligula efficitur vehicula.,In dignissim lacus vel euismod lacinia.,Vestibulum quis ex at ligula efficitur vehicula.,In dignissim lacus vel euismod lacinia.,Vestibulum quis ex at ligula efficitur vehicula.,In dignissim lacus vel euismod lacinia.
66, 'pub_00066',"Ut eu dui fermentum, consectetur justo vel, iaculis erat.","Maecenas ut dolor aliquet, tempus arcu eget, egestas dui.","Ut eu dui fermentum, consectetur justo vel, iaculis erat.","Maecenas ut dolor aliquet, tempus arcu eget, egestas dui.","Ut eu dui fermentum, consectetur justo vel, iaculis erat.","Maecenas ut dolor aliquet, tempus arcu eget, egestas dui.","Ut eu dui fermentum, consectetur justo vel, iaculis erat.","Maecenas ut dolor aliquet, tempus arcu eget, egestas dui.","Ut eu dui fermentum, consectetur justo vel, iaculis erat.","Maecenas ut dolor aliquet, tempus arcu eget, egestas dui.","Ut eu dui fermentum, consectetur justo vel, iaculis erat.","Maecenas ut dolor aliquet, tempus arcu eget, egestas dui.","Ut eu dui fermentum, consectetur justo vel, iaculis erat.","Maecenas ut dolor aliquet, tempus arcu eget, egestas dui.","Ut eu dui fermentum, consectetur justo vel, iaculis erat.","Maecenas ut dolor aliquet, tempus arcu eget, egestas dui.","Ut eu dui fermentum, consectetur justo vel, iaculis erat.","Maecenas ut dolor aliquet, tempus arcu eget, egestas dui.","Ut eu dui fermentum, consectetur justo vel, iaculis erat.","Maecenas ut dolor aliquet, tempus arcu eget, egestas dui."
67, 'pub_00067',Duis ornare elit nec consectetur laoreet.,"Pellentesque egestas enim lacinia, porta quam lacinia, pretium turpis.",Duis ornare elit nec consectetur laoreet.,"Pellentesque egestas enim lacinia, porta quam lacinia, pretium turpis.",Duis ornare elit nec consectetur laoreet.,"Pellentesque egestas enim lacinia, porta quam lacinia, pretium turpis.",Duis ornare elit nec consectetur laoreet.,"Pellentesque egestas enim lacinia, porta quam lacinia, pretium turpis.",Duis ornare elit nec consectetur laoreet.,"Pellentesque egestas enim lacinia, porta quam lacinia, pretium turpis.",Duis ornare elit nec consectetur laoreet.,"Pellentesque egestas enim lacinia, porta quam lacinia, pretium turpis.",Duis ornare elit nec consectetur laoreet.,"Pellentesque egestas enim lacinia, porta quam lacinia, pretium turpis.",Duis ornare elit nec consectetur laoreet.,"Pellentesque egestas enim lacinia, porta quam lacinia, pretium turpis.",Duis ornare elit nec consectetur laoreet.,"Pellentesque egestas enim lacinia, porta quam lacinia, pretium turpis.",Duis ornare elit nec consectetur laoreet.,"Pellentesque egestas enim lacinia, porta quam lacinia, pretium turpis."
68, 'pub_00068',Vestibulum quis erat eget dolor venenatis pretium semper sit amet est.,Maecenas laoreet mauris lobortis elit facilisis ultrices.,Vestibulum quis erat eget dolor venenatis pretium semper sit amet est.,Maecenas laoreet mauris lobortis elit facilisis ultrices.,Vestibulum quis erat eget dolor venenatis pretium semper sit amet est.,Maecenas laoreet mauris lobortis elit facilisis ultrices.,Vestibulum quis erat eget dolor venenatis pretium semper sit amet est.,Maecenas laoreet mauris lobortis elit facilisis ultrices.,Vestibulum quis erat eget dolor venenatis pretium semper sit amet est.,Maecenas laoreet mauris lobortis elit facilisis ultrices.,Vestibulum quis erat eget dolor venenatis pretium semper sit amet est.,Maecenas laoreet mauris lobortis elit facilisis ultrices.,Vestibulum quis erat eget dolor venenatis pretium semper sit amet est.,Maecenas laoreet mauris lobortis elit facilisis ultrices.,Vestibulum quis erat eget dolor venenatis pretium semper sit amet est.,Maecenas laoreet mauris lobortis elit facilisis ultrices.,Vestibulum quis erat eget dolor venenatis pretium semper sit amet est.,Maecenas laoreet mauris lobortis elit facilisis ultrices.,Vestibulum quis erat eget dolor venenatis pretium semper sit amet est.,Maecenas laoreet mauris lobortis elit facilisis ultrices.
69, 'pub_00069',"Pellentesque gravida ex vitae libero molestie, sed ullamcorper mi luctus.","Aliquam accumsan odio at justo porttitor, vitae malesuada lorem iaculis.","Pellentesque gravida ex vitae libero molestie, sed ullamcorper mi luctus.","Aliquam accumsan odio at justo porttitor, vitae malesuada lorem iaculis.","Pellentesque gravida ex vitae libero molestie, sed ullamcorper mi luctus.","Aliquam accumsan odio at justo porttitor, vitae malesuada lorem iaculis.","Pellentesque gravida ex vitae libero molestie, sed ullamcorper mi luctus.","Aliquam accumsan odio at justo porttitor, vitae malesuada lorem iaculis.","Pellentesque gravida ex vitae libero molestie, sed ullamcorper mi luctus.","Aliquam accumsan odio at justo porttitor, vitae malesuada lorem iaculis.","Pellentesque gravida ex vitae libero molestie, sed ullamcorper mi luctus.","Aliquam accumsan odio at justo porttitor, vitae malesuada lorem iaculis.","Pellentesque gravida ex vitae libero molestie, sed ullamcorper mi luctus.","Aliquam accumsan odio at justo porttitor, vitae malesuada lorem iaculis.","Pellentesque gravida ex vitae libero molestie, sed ullamcorper mi luctus.","Aliquam accumsan odio at justo porttitor, vitae malesuada lorem iaculis.","Pellentesque gravida ex vitae libero molestie, sed ullamcorper mi luctus.","Aliquam accumsan odio at justo porttitor, vitae malesuada lorem iaculis.","Pellentesque gravida ex vitae libero molestie, sed ullamcorper mi luctus.","Aliquam accumsan odio at justo porttitor, vitae malesuada lorem iaculis."
70, 'pub_00070',"Curabitur euismod elit id lectus volutpat, quis elementum sapien bibendum.","Praesent id urna lacinia, eleifend massa et, consequat ex.","Curabitur euismod elit id lectus volutpat, quis elementum sapien bibendum.","Praesent id urna lacinia, eleifend massa et, consequat ex.","Curabitur euismod elit id lectus volutpat, quis elementum sapien bibendum.","Praesent id urna lacinia, eleifend massa et, consequat ex.","Curabitur euismod elit id lectus volutpat, quis elementum sapien bibendum.","Praesent id urna lacinia, eleifend massa et, consequat ex.","Curabitur euismod elit id lectus volutpat, quis elementum sapien bibendum.","Praesent id urna lacinia, eleifend massa et, consequat ex.","Curabitur euismod elit id lectus volutpat, quis elementum sapien bibendum.","Praesent id urna lacinia, eleifend massa et, consequat ex.","Curabitur euismod elit id lectus volutpat, quis elementum sapien bibendum.","Praesent id urna lacinia, eleifend massa et, consequat ex.","Curabitur euismod elit id lectus volutpat, quis elementum sapien bibendum.","Praesent id urna lacinia, eleifend massa et, consequat ex.","Curabitur euismod elit id lectus volutpat, quis elementum sapien bibendum.","Praesent id urna lacinia, eleifend massa et, consequat ex.","Curabitur euismod elit id lectus volutpat, quis elementum sapien bibendum.","Praesent id urna lacinia, eleifend massa et, consequat ex."
71, 'pub_00072',In efficitur nulla nec suscipit dapibus.,Donec at quam et nunc suscipit imperdiet vel molestie orci.,In efficitur nulla nec suscipit dapibus.,Donec at quam et nunc suscipit imperdiet vel molestie orci.,In efficitur nulla nec suscipit dapibus.,Donec at quam et nunc suscipit imperdiet vel molestie orci.,In efficitur nulla nec suscipit dapibus.,Donec at quam et nunc suscipit imperdiet vel molestie orci.,In efficitur nulla nec suscipit dapibus.,Donec at quam et nunc suscipit imperdiet vel molestie orci.,In efficitur nulla nec suscipit dapibus.,Donec at quam et nunc suscipit imperdiet vel molestie orci.,In efficitur nulla nec suscipit dapibus.,Donec at quam et nunc suscipit imperdiet vel molestie orci.,In efficitur nulla nec suscipit dapibus.,Donec at quam et nunc suscipit imperdiet vel molestie orci.,In efficitur nulla nec suscipit dapibus.,Donec at quam et nunc suscipit imperdiet vel molestie orci.,In efficitur nulla nec suscipit dapibus.,Donec at quam et nunc suscipit imperdiet vel molestie orci.
72, 'pub_00073',Mauris laoreet erat quis mollis porta.,"Nunc non libero tincidunt, finibus nisl a, tempor odio.",Mauris laoreet erat quis mollis porta.,"Nunc non libero tincidunt, finibus nisl a, tempor odio.",Mauris laoreet erat quis mollis porta.,"Nunc non libero tincidunt, finibus nisl a, tempor odio.",Mauris laoreet erat quis mollis porta.,"Nunc non libero tincidunt, finibus nisl a, tempor odio.",Mauris laoreet erat quis mollis porta.,"Nunc non libero tincidunt, finibus nisl a, tempor odio.",Mauris laoreet erat quis mollis porta.,"Nunc non libero tincidunt, finibus nisl a, tempor odio.",Mauris laoreet erat quis mollis porta.,"Nunc non libero tincidunt, finibus nisl a, tempor odio.",Mauris laoreet erat quis mollis porta.,"Nunc non libero tincidunt, finibus nisl a, tempor odio.",Mauris laoreet erat quis mollis porta.,"Nunc non libero tincidunt, finibus nisl a, tempor odio.",Mauris laoreet erat quis mollis porta.,"Nunc non libero tincidunt, finibus nisl a, tempor odio."
73, 'pub_00075',"Ut non neque volutpat, bibendum nibh a, convallis augue.",Donec in mauris vel lectus porttitor auctor.,"Ut non neque volutpat, bibendum nibh a, convallis augue.",Donec in mauris vel lectus porttitor auctor.,"Ut non neque volutpat, bibendum nibh a, convallis augue.",Donec in mauris vel lectus porttitor auctor.,"Ut non neque volutpat, bibendum nibh a, convallis augue.",Donec in mauris vel lectus porttitor auctor.,"Ut non neque volutpat, bibendum nibh a, convallis augue.",Donec in mauris vel lectus porttitor auctor.,"Ut non neque volutpat, bibendum nibh a, convallis augue.",Donec in mauris vel lectus porttitor auctor.,"Ut non neque volutpat, bibendum nibh a, convallis augue.",Donec in mauris vel lectus porttitor auctor.,"Ut non neque volutpat, bibendum nibh a, convallis augue.",Donec in mauris vel lectus porttitor auctor.,"Ut non neque volutpat, bibendum nibh a, convallis augue.",Donec in mauris vel lectus porttitor auctor.,"Ut non neque volutpat, bibendum nibh a, convallis augue.",Donec in mauris vel lectus porttitor auctor.
74, 'pub_00076',Quisque molestie tortor nec nunc pulvinar aliquet.,Integer mollis metus et bibendum accumsan.,Quisque molestie tortor nec nunc pulvinar aliquet.,Integer mollis metus et bibendum accumsan.,Quisque molestie tortor nec nunc pulvinar aliquet.,Integer mollis metus et bibendum accumsan.,Quisque molestie tortor nec nunc pulvinar aliquet.,Integer mollis metus et bibendum accumsan.,Quisque molestie tortor nec nunc pulvinar aliquet.,Integer mollis metus et bibendum accumsan.,Quisque molestie tortor nec nunc pulvinar aliquet.,Integer mollis metus et bibendum accumsan.,Quisque molestie tortor nec nunc pulvinar aliquet.,Integer mollis metus et bibendum accumsan.,Quisque molestie tortor nec nunc pulvinar aliquet.,Integer mollis metus et bibendum accumsan.,Quisque molestie tortor nec nunc pulvinar aliquet.,Integer mollis metus et bibendum accumsan.,Quisque molestie tortor nec nunc pulvinar aliquet.,Integer mollis metus et bibendum accumsan.
